Id,Games,City,Sport,Event,Medal
41039,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
41040,1948 Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
41041,1976 Summer,Montreal,Athletics,Athletics Men's Marathon,NA
41042,1984 Summer,Los Angeles,Athletics,Athletics Women's Marathon,NA
41043,1988 Summer,Seoul,Athletics,Athletics Women's Marathon,NA
41044,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
41045,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
41046,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
41047,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
41048,1976 Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",NA
41049,1976 Summer,Montreal,Athletics,Athletics Men's Marathon,NA
41050,1984 Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",NA
41051,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",NA
41052,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
41053,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,NA
41054,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41055,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41056,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41057,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41058,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",Bronze
41059,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,Bronze
41060,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
41061,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
41062,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,NA
41063,2012 Summer,London,Athletics,Athletics Men's Javelin Throw,NA
41064,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,NA
41065,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres,NA
41066,2004 Summer,Athina,Athletics,Athletics Men's 200 metres,NA
41067,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,NA
41068,1992 Summer,Barcelona,Athletics,Athletics Women's Long Jump,NA
41069,2012 Summer,London,Boxing,Boxing Men's Lightweight,Bronze
41070,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,NA
41071,1976 Summer,Montreal,Boxing,Boxing Men's Flyweight,NA
41072,1996 Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
41073,2004 Summer,Athina,Athletics,Athletics Men's Triple Jump,NA
41074,1952 Summer,Helsinki,Athletics,"Athletics Men's 1,500 metres",NA
41075,2000 Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",NA
41076,2004 Summer,Athina,Athletics,"Athletics Women's 1,500 metres",NA
41077,1952 Summer,Helsinki,Athletics,Athletics Women's 100 metres,NA
41078,1952 Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,NA
41079,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
41080,2012 Summer,London,Boxing,Boxing Men's Light-Welterweight,NA
41081,1964 Summer,Tokyo,Athletics,Athletics Men's 800 metres,NA
41082,1996 Summer,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,NA
41083,2000 Summer,Sydney,Athletics,Athletics Women's 20 kilometres Walk,NA
41084,2004 Summer,Athina,Athletics,Athletics Women's 20 kilometres Walk,NA
