Id,Games,City,Sport,Event,Medal
1,2000 Summer,Sydney,Athletics,Athletics Men's Shot Put,NA
2,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,NA
3,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
4,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
5,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
7,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
8,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
9,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
10,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
11,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,NA
12,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
13,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
14,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NA
15,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NA
16,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
17,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
18,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,NA
19,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
20,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,NA
21,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
22,2012 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
23,2012 Summer,London,Boxing,Boxing Men's Light-Welterweight,NA
24,2004 Summer,Athina,Athletics,Athletics Women's Javelin Throw,NA
25,2008 Summer,Beijing,Athletics,Athletics Women's Javelin Throw,NA
26,1976 Summer,Montreal,Athletics,Athletics Men's Pole Vault,NA
27,1948 Summer,London,Boxing,Boxing Men's Heavyweight,NA
28,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
29,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,NA
30,1972 Summer,Munich,Boxing,Boxing Men's Flyweight,NA
31,2008 Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
32,2012 Summer,London,Athletics,Athletics Women's Javelin Throw,NA
33,1968 Summer,Mexico City,Boxing,Boxing Men's Middleweight,NA
34,1980 Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",NA
35,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
36,1980 Summer,Moskva,Athletics,Athletics Women's Shot Put,NA
37,2012 Summer,London,Athletics,Athletics Men's 110 metres Hurdles,NA
38,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
39,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
40,1976 Summer,Montreal,Athletics,Athletics Men's High Jump,NA
41,1972 Summer,Munich,Boxing,Boxing Men's Lightweight,NA
42,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,NA
43,2012 Summer,London,Boxing,Boxing Men's Welterweight,NA
44,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
45,1976 Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,NA
46,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,NA
47,1980 Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,NA
48,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,NA
49,1996 Summer,Atlanta,Athletics,Athletics Men's Hammer Throw,NA
50,1980 Summer,Moskva,Athletics,Athletics Men's Long Jump,NA
51,1992 Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,NA
52,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres,NA
53,1988 Summer,Seoul,Athletics,Athletics Men's 800 metres,NA
54,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
55,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,NA
56,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
57,2008 Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",NA
58,1964 Summer,Tokyo,Athletics,Athletics Men's Marathon,NA
59,1972 Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
60,1952 Summer,Helsinki,Athletics,"Athletics Men's 10,000 metres",NA
61,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,NA
62,1984 Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",NA
63,1952 Summer,Helsinki,Athletics,Athletics Men's Marathon,NA
64,1960 Summer,Roma,Athletics,Athletics Men's Long Jump,NA
65,1960 Summer,Roma,Boxing,Boxing Men's Featherweight,NA
66,1968 Summer,Mexico City,Boxing,Boxing Men's Lightweight,NA
67,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,NA
68,1972 Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
69,1968 Summer,Mexico City,Boxing,Boxing Men's Featherweight,NA
70,1960 Summer,Roma,Athletics,Athletics Men's 100 metres,NA
71,1996 Summer,Atlanta,Athletics,Athletics Men's 400 metres,NA
72,1952 Summer,Helsinki,Boxing,Boxing Men's Welterweight,NA
73,2000 Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,NA
74,2000 Summer,Sydney,Boxing,Boxing Men's Super-Heavyweight,NA
75,1976 Summer,Montreal,Boxing,Boxing Men's Light-Flyweight,NA
76,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
77,2008 Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",NA
78,1952 Summer,Helsinki,Athletics,"Athletics Men's 5,000 metres",NA
79,2012 Summer,London,Athletics,Athletics Men's Javelin Throw,NA
80,1980 Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",NA
81,1988 Summer,Seoul,Athletics,Athletics Men's 800 metres,NA
82,1992 Summer,Barcelona,Athletics,Athletics Men's 800 metres,NA
83,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
84,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",NA
85,2008 Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
86,2012 Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
87,1992 Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
88,1996 Summer,Atlanta,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
89,1988 Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",NA
90,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
91,2000 Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",NA
92,2004 Summer,Athina,Athletics,"Athletics Men's 10,000 metres",NA
93,2008 Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",NA
94,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
95,2012 Summer,London,Boxing,Boxing Men's Lightweight,NA
96,1996 Summer,Atlanta,Athletics,Athletics Men's 400 metres,NA
97,1996 Summer,Atlanta,Athletics,Athletics Men's 200 metres,NA
98,1952 Summer,Helsinki,Boxing,Boxing Men's Bantamweight,NA
99,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
100,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
101,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,NA
102,1976 Summer,Montreal,Athletics,Athletics Men's 200 metres,NA
103,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,NA
104,1960 Summer,Roma,Boxing,Boxing Men's Lightweight,NA
105,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,NA
106,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
107,1968 Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,NA
108,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
109,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
110,1960 Summer,Roma,Athletics,Athletics Men's Long Jump,NA
111,1960 Summer,Roma,Athletics,Athletics Men's Triple Jump,NA
112,1960 Summer,Roma,Athletics,Athletics Men's High Jump,NA
113,1988 Summer,Seoul,Athletics,Athletics Men's 800 metres,NA
114,1968 Summer,Mexico City,Athletics,Athletics Men's 100 metres,NA
115,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
116,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,NA
117,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
118,2008 Summer,Beijing,Athletics,Athletics Women's Long Jump,NA
119,2012 Summer,London,Boxing,Boxing Men's Welterweight,NA
120,2008 Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",NA
121,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
122,1960 Summer,Roma,Athletics,Athletics Men's Pole Vault,NA
123,1968 Summer,Mexico City,Boxing,Boxing Men's Light-Middleweight,NA
124,1972 Summer,Munich,Boxing,Boxing Men's Middleweight,NA
125,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,NA
126,1996 Summer,Atlanta,Boxing,Boxing Men's Lightweight,NA
127,2000 Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
128,2012 Summer,London,Athletics,"Athletics Women's 5,000 metres",NA
129,1980 Summer,Moskva,Athletics,Athletics Men's Discus Throw,NA
130,1988 Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,NA
131,1992 Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,NA
132,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
133,2004 Summer,Athina,Boxing,Boxing Men's Middleweight,NA
134,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
135,1992 Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
136,2000 Summer,Sydney,Athletics,Athletics Men's Hammer Throw,NA
137,2004 Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
138,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
139,1968 Summer,Mexico City,Athletics,Athletics Men's Long Jump,NA
140,1992 Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",NA
141,1992 Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
142,1988 Summer,Seoul,Boxing,Boxing Men's Flyweight,NA
143,2000 Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",NA
144,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
145,2008 Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
146,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
147,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
148,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,NA
149,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
150,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
151,1948 Summer,London,Athletics,Athletics Women's Discus Throw,NA
152,1952 Summer,Helsinki,Athletics,"Athletics Men's 1,500 metres",NA
153,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
154,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,NA
155,2004 Summer,Athina,Athletics,"Athletics Women's 1,500 metres",NA
156,2004 Summer,Athina,Athletics,"Athletics Women's 5,000 metres",NA
157,2008 Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
158,2008 Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",NA
159,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,NA
160,1972 Summer,Munich,Athletics,Athletics Men's 800 metres,NA
161,1972 Summer,Munich,Athletics,"Athletics Men's 1,500 metres",NA
162,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,NA
163,2012 Summer,London,Athletics,Athletics Women's Pole Vault,NA
164,2012 Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,NA
165,1980 Summer,Moskva,Boxing,Boxing Men's Bantamweight,NA
166,1984 Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,NA
167,2008 Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",NA
168,2004 Summer,Athina,Boxing,Boxing Men's Light-Flyweight,NA
169,2012 Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,NA
170,1972 Summer,Munich,Athletics,Athletics Men's 800 metres,NA
171,1972 Summer,Munich,Athletics,"Athletics Men's 1,500 metres",NA
172,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
173,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,NA
174,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
175,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,NA
176,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
177,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
178,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,NA
179,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,NA
180,1988 Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,NA
181,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
182,2004 Summer,Athina,Athletics,Athletics Men's Triple Jump,NA
183,2008 Summer,Beijing,Athletics,Athletics Men's Triple Jump,NA
184,1992 Summer,Barcelona,Boxing,Boxing Men's Bantamweight,NA
185,1988 Summer,Seoul,Athletics,Athletics Men's Triple Jump,NA
186,1984 Summer,Los Angeles,Boxing,Boxing Men's Welterweight,NA
187,2012 Summer,London,Athletics,"Athletics Men's 5,000 metres",NA
188,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
189,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
190,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
191,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
192,1984 Summer,Los Angeles,Athletics,Athletics Women's 800 metres,NA
193,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,NA
194,1988 Summer,Seoul,Athletics,Athletics Women's 800 metres,NA
195,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,NA
196,1992 Summer,Barcelona,Athletics,Athletics Women's 800 metres,NA
197,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,NA
198,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
199,1984 Summer,Los Angeles,Athletics,Athletics Men's 200 metres,NA
200,1976 Summer,Montreal,Athletics,Athletics Men's 100 metres,NA
201,1976 Summer,Montreal,Athletics,Athletics Men's 200 metres,NA
202,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
203,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
204,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
205,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
206,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
207,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
208,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,NA
209,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
210,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
211,1960 Summer,Roma,Boxing,Boxing Men's Heavyweight,NA
212,1964 Summer,Tokyo,Athletics,Athletics Men's Marathon,NA
213,1980 Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",NA
214,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
215,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,NA
216,1988 Summer,Seoul,Athletics,Athletics Men's 800 metres,NA
217,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
218,1992 Summer,Barcelona,Athletics,Athletics Men's 800 metres,NA
219,1996 Summer,Atlanta,Athletics,Athletics Men's 800 metres,NA
220,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,NA
221,2012 Summer,London,Athletics,Athletics Men's 200 metres,NA
222,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
223,2004 Summer,Athina,Boxing,Boxing Men's Middleweight,NA
224,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
225,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
226,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
227,1988 Summer,Seoul,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
228,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,NA
229,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,NA
230,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
231,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
232,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
233,1996 Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",NA
234,1996 Summer,Atlanta,Boxing,Boxing Men's Bantamweight,NA
235,2004 Summer,Athina,Athletics,Athletics Men's 400 metres,NA
236,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres,NA
237,2004 Summer,Athina,Athletics,Athletics Women's 800 metres,NA
238,2000 Summer,Sydney,Boxing,Boxing Men's Middleweight,NA
239,2008 Summer,Beijing,Athletics,Athletics Women's 400 metres,NA
240,2008 Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,NA
241,1968 Summer,Mexico City,Athletics,Athletics Men's High Jump,NA
242,1964 Summer,Tokyo,Athletics,Athletics Men's High Jump,NA
243,1968 Summer,Mexico City,Athletics,Athletics Men's High Jump,NA
244,2004 Summer,Athina,Athletics,Athletics Women's 100 metres,NA
245,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
246,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
247,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
248,2008 Summer,Beijing,Boxing,Boxing Men's Bantamweight,NA
249,2012 Summer,London,Boxing,Boxing Men's Bantamweight,NA
250,1948 Summer,London,Athletics,Athletics Men's 400 metres,NA
251,1948 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
252,1952 Summer,Helsinki,Athletics,Athletics Men's 400 metres,NA
253,1952 Summer,Helsinki,Athletics,Athletics Men's 400 metres Hurdles,NA
254,1972 Summer,Munich,Athletics,Athletics Men's Hammer Throw,NA
255,1976 Summer,Montreal,Athletics,Athletics Men's Hammer Throw,NA
256,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom,NA
257,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,NA
258,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
259,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
260,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,NA
261,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,NA
262,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
263,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
264,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Combined,NA
265,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,NA
266,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
267,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
268,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,NA
269,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
270,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
271,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
272,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NA
273,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,NA
274,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,NA
275,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
276,1960 Summer,Roma,Athletics,"Athletics Men's 5,000 metres",NA
277,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
278,1988 Summer,Seoul,Athletics,Athletics Women's 100 metres,NA
279,1988 Summer,Seoul,Athletics,Athletics Women's 200 metres,NA
280,1992 Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
281,1968 Summer,Mexico City,Athletics,Athletics Men's 200 metres,NA
282,1972 Summer,Munich,Athletics,Athletics Men's 400 metres,NA
283,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,NA
284,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,NA
285,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
286,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
287,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
288,1988 Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
289,1988 Summer,Seoul,Boxing,Boxing Men's Bantamweight,NA
290,1992 Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
291,1996 Summer,Atlanta,Boxing,Boxing Men's Featherweight,NA
292,2000 Summer,Sydney,Athletics,Athletics Men's Triple Jump,NA
293,2008 Summer,Beijing,Athletics,Athletics Men's Triple Jump,NA
294,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,NA
295,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,NA
296,2012 Summer,London,Athletics,"Athletics Women's 1,500 metres",NA
297,1996 Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
298,2000 Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",NA
299,1984 Summer,Los Angeles,Athletics,Athletics Men's Shot Put,NA
300,1988 Summer,Seoul,Athletics,Athletics Men's Shot Put,NA
301,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres,NA
302,1988 Summer,Seoul,Athletics,Athletics Women's 800 metres,NA
303,1956 Summer,Melbourne,Athletics,Athletics Men's Javelin Throw,NA
304,1964 Summer,Tokyo,Boxing,Boxing Men's Lightweight,NA
305,1988 Summer,Seoul,Athletics,Athletics Women's 200 metres,NA
306,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,NA
307,1996 Summer,Atlanta,Athletics,Athletics Men's Long Jump,NA
308,1968 Summer,Mexico City,Athletics,Athletics Women's Pentathlon,NA
309,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
310,1972 Summer,Munich,Athletics,Athletics Women's 400 metres,NA
311,1972 Summer,Munich,Athletics,Athletics Women's 4 x 400 metres Relay,NA
312,1984 Summer,Los Angeles,Athletics,Athletics Men's 800 metres,NA
313,1952 Summer,Helsinki,Athletics,Athletics Men's 100 metres,NA
314,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
315,2008 Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
316,1952 Summer,Helsinki,Athletics,Athletics Men's 100 metres,NA
317,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
318,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
319,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,NA
320,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,NA
321,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,NA
322,1996 Summer,Atlanta,Athletics,Athletics Women's High Jump,NA
323,2000 Summer,Sydney,Athletics,Athletics Women's High Jump,NA
324,2004 Summer,Athina,Athletics,Athletics Women's High Jump,NA
325,2008 Summer,Beijing,Athletics,Athletics Women's High Jump,NA
326,2012 Summer,London,Athletics,Athletics Women's High Jump,NA
327,1972 Summer,Munich,Boxing,Boxing Men's Flyweight,NA
328,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
329,1980 Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
330,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
331,2012 Summer,London,Athletics,Athletics Men's 100 metres,NA
332,1992 Summer,Barcelona,Athletics,Athletics Men's 400 metres,NA
333,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
334,1992 Summer,Barcelona,Athletics,Athletics Men's 200 metres,NA
335,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
336,1972 Summer,Munich,Athletics,Athletics Women's Shot Put,NA
337,1976 Summer,Montreal,Athletics,Athletics Women's Shot Put,NA
338,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
339,1948 Summer,London,Athletics,Athletics Men's Long Jump,NA
340,1948 Summer,London,Athletics,Athletics Men's Decathlon,NA
341,1952 Summer,Helsinki,Athletics,Athletics Men's 400 metres,NA
342,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,NA
343,2012 Summer,London,Athletics,Athletics Men's 100 metres,NA
344,2012 Summer,London,Athletics,Athletics Men's 200 metres,NA
345,2012 Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,NA
346,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
347,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,NA
348,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,NA
349,1952 Summer,Helsinki,Athletics,Athletics Men's Decathlon,NA
350,1976 Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,NA
351,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,NA
352,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
353,1988 Summer,Seoul,Athletics,Athletics Men's Triple Jump,NA
354,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
355,2004 Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA
356,2008 Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,NA
357,2008 Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,NA
358,2012 Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA
359,2012 Summer,London,Athletics,Athletics Men's Triple Jump,NA
360,1988 Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,NA
361,2012 Summer,London,Boxing,Boxing Women's Flyweight,Gold
362,2016 Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
363,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
364,1968 Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA
365,1972 Summer,Munich,Athletics,Athletics Men's 800 metres,NA
